subj_id,date,experimenter,computer,block_ix,trial_ix,sound_id,word,sound_category,word_category,word_type,correct_response,response,rt,is_correct
LSN137,2016_Dec_02_1518,,LL-Kramer,1,1,46,crisshhh,zipper,tear,sound_effect,0,0,3717.89536998,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,2,46,crisshhh,zipper,tear,sound_effect,0,1,3489.97746594,False
LSN137,2016_Dec_02_1518,,LL-Kramer,1,3,42,crisshhh,water,tear,sound_effect,0,0,1566.21043757,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,4,38,fwip,tear,zipper,sound_effect,0,0,1586.9497722,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,5,36,cliq,glass,glass,sound_effect,1,1,1125.74324012,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,6,42,blowosh,water,water,sound_effect,1,1,1775.85046832,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,7,42,crisshhh,water,tear,sound_effect,0,0,458.989296108,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,8,46,fwip,zipper,zipper,sound_effect,1,1,2039.70443271,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,9,36,blowosh,glass,water,sound_effect,0,0,1453.68323009,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,10,36,cliq,glass,glass,sound_effect,1,1,1310.08719094,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,11,38,crisshhh,tear,tear,sound_effect,1,1,1114.9508981,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,12,42,blowosh,water,water,sound_effect,1,0,1168.0579735,False
LSN137,2016_Dec_02_1518,,LL-Kramer,1,13,38,crisshhh,tear,tear,sound_effect,1,1,647.387138568,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,14,46,crisshhh,zipper,tear,sound_effect,0,0,1554.94788941,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,15,38,crisshhh,tear,tear,sound_effect,1,1,675.057935528,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,16,42,blowosh,water,water,sound_effect,1,0,1234.14517846,False
LSN137,2016_Dec_02_1518,,LL-Kramer,1,17,36,fwip,glass,zipper,sound_effect,0,0,1477.5581276,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,18,36,fwip,glass,zipper,sound_effect,0,1,1332.94997644,False
LSN137,2016_Dec_02_1518,,LL-Kramer,1,19,38,crisshhh,tear,tear,sound_effect,1,1,776.473676786,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,20,46,blowosh,zipper,water,sound_effect,0,0,1174.54547808,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,21,42,cliq,water,glass,sound_effect,0,0,934.615384787,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,22,36,cliq,glass,glass,sound_effect,1,1,699.605014175,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,23,38,blowosh,tear,water,sound_effect,0,0,1091.08560346,True
LSN137,2016_Dec_02_1518,,LL-Kramer,1,24,46,cliq,zipper,glass,sound_effect,0,0,6505.36208134,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,25,40,blowosh,tear,water,sound_effect,0,0,940.501127392,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,26,49,blowosh,zipper,water,sound_effect,0,0,902.810676023,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,27,43,blowosh,water,water,sound_effect,1,1,686.493328772,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,28,49,fwip,zipper,zipper,sound_effect,1,1,1082.68974721,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,29,49,blowosh,zipper,water,sound_effect,0,0,554.131030105,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,30,35,cliq,glass,glass,sound_effect,1,1,857.589240186,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,31,40,crisshhh,tear,tear,sound_effect,1,1,930.713215843,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,32,43,crisshhh,water,tear,sound_effect,0,0,966.91750735,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,33,35,blowosh,glass,water,sound_effect,0,0,625.298320316,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,34,40,fwip,tear,zipper,sound_effect,0,0,2212.22184505,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,35,40,crisshhh,tear,tear,sound_effect,1,1,723.906906322,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,36,43,crisshhh,water,tear,sound_effect,0,0,984.513917007,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,37,40,cliq,tear,glass,sound_effect,0,0,1012.75958959,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,38,43,blowosh,water,water,sound_effect,1,1,887.938518077,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,39,35,blowosh,glass,water,sound_effect,0,0,880.664242432,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,40,35,crisshhh,glass,tear,sound_effect,0,0,837.722140364,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,41,49,fwip,zipper,zipper,sound_effect,1,1,729.632604867,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,42,43,fwip,water,zipper,sound_effect,0,0,1605.87069765,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,43,35,blowosh,glass,water,sound_effect,0,0,837.910350412,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,44,49,cliq,zipper,glass,sound_effect,0,0,877.440975979,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,45,43,blowosh,water,water,sound_effect,1,1,405.457147397,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,46,49,cliq,zipper,glass,sound_effect,0,0,2855.25101237,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,47,35,blowosh,glass,water,sound_effect,0,0,703.27255968,True
LSN137,2016_Dec_02_1518,,LL-Kramer,2,48,40,blowosh,tear,water,sound_effect,0,0,853.592005558,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,49,47,blowosh,zipper,water,sound_effect,0,0,821.915971115,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,50,34,cliq,glass,glass,sound_effect,1,1,1329.31475993,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,51,45,blowosh,water,water,sound_effect,1,0,419.48939953,False
LSN137,2016_Dec_02_1518,,LL-Kramer,3,52,34,cliq,glass,glass,sound_effect,1,1,638.857484795,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,53,41,crisshhh,tear,tear,sound_effect,1,1,1040.06068874,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,54,34,fwip,glass,zipper,sound_effect,0,0,1351.51688755,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,55,41,crisshhh,tear,tear,sound_effect,1,1,696.276438423,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,56,34,blowosh,glass,water,sound_effect,0,0,814.510460943,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,57,41,crisshhh,tear,tear,sound_effect,1,1,884.579855949,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,58,45,fwip,water,zipper,sound_effect,0,0,1160.46297271,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,59,41,crisshhh,tear,tear,sound_effect,1,1,473.274095915,True
LSN137,2016_Dec_02_1518,,LL-Kramer,3,60,34,cliq,glass,glass,sound_effect,1,1,437.593144365,True
