subj_id,date,experimenter,computer,block_ix,trial_ix,sound_id,word,sound_category,word_category,word_type,correct_response,response,rt,is_correct
LSN136,2016_Dec_02_1455,,LL-Kramer,1,1,46,veeeep,zipper,zipper,last_gen_imitation,1,1,28246.8407508,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,2,42,dundunduh,water,glass,last_gen_imitation,0,0,3671.0488582,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,3,34,eeverlusha,glass,water,last_gen_imitation,0,0,1395.86320799,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,4,34,eeverlusha,glass,water,last_gen_imitation,0,0,1138.54764123,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,5,34,dundunduh,glass,glass,last_gen_imitation,1,1,1586.50677372,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,6,46,veeeep,zipper,zipper,last_gen_imitation,1,1,2037.06628364,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,7,39,sheyah,tear,tear,last_gen_imitation,1,1,1973.82784542,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,8,34,sheyah,glass,tear,last_gen_imitation,0,0,1167.97027085,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,9,46,dundunduh,zipper,glass,last_gen_imitation,0,0,1300.56271143,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,10,42,veeeep,water,zipper,last_gen_imitation,0,0,1135.13584435,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,11,42,dundunduh,water,glass,last_gen_imitation,0,1,2038.72592933,False
LSN136,2016_Dec_02_1455,,LL-Kramer,1,12,39,sheyah,tear,tear,last_gen_imitation,1,0,1985.21970678,False
LSN136,2016_Dec_02_1455,,LL-Kramer,1,13,42,eeverlusha,water,water,last_gen_imitation,1,1,5806.57072645,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,14,42,sheyah,water,tear,last_gen_imitation,0,0,2079.96357419,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,15,39,eeverlusha,tear,water,last_gen_imitation,0,0,1294.79188006,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,16,46,dundunduh,zipper,glass,last_gen_imitation,0,0,1277.27997303,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,17,34,eeverlusha,glass,water,last_gen_imitation,0,0,929.383258335,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,18,39,sheyah,tear,tear,last_gen_imitation,1,1,883.023596369,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,19,46,eeverlusha,zipper,water,last_gen_imitation,0,0,965.08213412,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,20,34,dundunduh,glass,glass,last_gen_imitation,1,1,922.614078969,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,21,42,veeeep,water,zipper,last_gen_imitation,0,0,1023.13773893,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,22,39,sheyah,tear,tear,last_gen_imitation,1,1,1109.34811272,True
LSN136,2016_Dec_02_1455,,LL-Kramer,1,23,39,eeverlusha,tear,water,last_gen_imitation,0,0,797.874628566,True
