subj_id,date,experimenter,computer,block_ix,trial_ix,sound_id,word,sound_category,word_category,word_type,correct_response,response,rt,is_correct
LSN168,2016_Dec_09_1341,,LL-Kramer,1,1,48,dirrng,zipper,glass,first_gen_imitation,0,0,3950.2451859,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,2,48,glonglon,zipper,water,first_gen_imitation,0,0,1065.12246492,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,3,45,pshhht,water,tear,first_gen_imitation,0,0,946.278999792,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,4,34,glonglon,glass,water,first_gen_imitation,0,1,1130.07048295,False
LSN168,2016_Dec_09_1341,,LL-Kramer,1,5,41,pshhht,tear,tear,first_gen_imitation,1,1,1166.91174588,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,6,41,pshhht,tear,tear,first_gen_imitation,1,1,530.129058694,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,7,48,arrgt,zipper,zipper,first_gen_imitation,1,0,919.142745566,False
LSN168,2016_Dec_09_1341,,LL-Kramer,1,8,34,pshhht,glass,tear,first_gen_imitation,0,0,1106.42956827,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,9,34,glonglon,glass,water,first_gen_imitation,0,1,890.295631471,False
LSN168,2016_Dec_09_1341,,LL-Kramer,1,10,41,arrgt,tear,zipper,first_gen_imitation,0,0,682.903884561,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,11,41,pshhht,tear,tear,first_gen_imitation,1,1,670.932026536,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,12,45,dirrng,water,glass,first_gen_imitation,0,0,1108.01655485,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,13,45,dirrng,water,glass,first_gen_imitation,0,0,635.851556901,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,14,48,glonglon,zipper,water,first_gen_imitation,0,0,899.042302568,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,15,48,arrgt,zipper,zipper,first_gen_imitation,1,1,604.107984225,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,16,48,dirrng,zipper,glass,first_gen_imitation,0,0,710.303889689,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,17,41,pshhht,tear,tear,first_gen_imitation,1,1,537.437263134,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,18,41,glonglon,tear,water,first_gen_imitation,0,0,729.105743623,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,19,34,dirrng,glass,glass,first_gen_imitation,1,0,1137.51152311,False
LSN168,2016_Dec_09_1341,,LL-Kramer,1,20,34,arrgt,glass,zipper,first_gen_imitation,0,0,691.014864788,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,21,45,glonglon,water,water,first_gen_imitation,1,1,737.189516542,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,22,34,dirrng,glass,glass,first_gen_imitation,1,1,650.932090546,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,23,45,glonglon,water,water,first_gen_imitation,1,1,365.177199637,True
LSN168,2016_Dec_09_1341,,LL-Kramer,1,24,45,glonglon,water,water,first_gen_imitation,1,1,451.38917341,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,25,39,pshhht,tear,tear,first_gen_imitation,1,1,785.731204553,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,26,36,dirrng,glass,glass,first_gen_imitation,1,1,983.740909549,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,27,39,dirrng,tear,glass,first_gen_imitation,0,0,445.419888856,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,28,43,arrgt,water,zipper,first_gen_imitation,0,0,633.228771898,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,29,36,arrgt,glass,zipper,first_gen_imitation,0,0,1045.1234892,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,30,36,arrgt,glass,zipper,first_gen_imitation,0,0,544.779716787,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,31,39,pshhht,tear,tear,first_gen_imitation,1,1,386.343529142,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,32,39,arrgt,tear,zipper,first_gen_imitation,0,0,615.112222164,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,33,46,arrgt,zipper,zipper,first_gen_imitation,1,0,881.051866745,False
LSN168,2016_Dec_09_1341,,LL-Kramer,2,34,39,glonglon,tear,water,first_gen_imitation,0,0,839.328971633,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,35,36,dirrng,glass,glass,first_gen_imitation,1,1,792.2299114,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,36,36,pshhht,glass,tear,first_gen_imitation,0,0,704.119187241,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,37,43,pshhht,water,tear,first_gen_imitation,0,0,955.027591423,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,38,43,pshhht,water,tear,first_gen_imitation,0,0,491.717773737,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,39,43,dirrng,water,glass,first_gen_imitation,0,0,583.027757864,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,40,43,glonglon,water,water,first_gen_imitation,1,1,779.266106736,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,41,43,dirrng,water,glass,first_gen_imitation,0,0,908.97489246,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,42,46,arrgt,zipper,zipper,first_gen_imitation,1,1,1296.70055311,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,43,46,pshhht,zipper,tear,first_gen_imitation,0,0,1185.51482639,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,44,39,pshhht,tear,tear,first_gen_imitation,1,1,569.724341898,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,45,46,glonglon,zipper,water,first_gen_imitation,0,0,655.629993344,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,46,46,glonglon,zipper,water,first_gen_imitation,0,0,575.71667264,True
LSN168,2016_Dec_09_1341,,LL-Kramer,2,47,46,arrgt,zipper,zipper,first_gen_imitation,1,0,466.605743626,False
LSN168,2016_Dec_09_1341,,LL-Kramer,2,48,36,glonglon,glass,water,first_gen_imitation,0,0,837.474713204,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,49,42,dirrng,water,glass,first_gen_imitation,0,0,807.747682586,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,50,35,dirrng,glass,glass,first_gen_imitation,1,1,749.542917125,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,51,40,pshhht,tear,tear,first_gen_imitation,1,1,435.255876786,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,52,40,dirrng,tear,glass,first_gen_imitation,0,0,1288.31910017,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,53,42,glonglon,water,water,first_gen_imitation,1,1,600.714111963,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,54,42,dirrng,water,glass,first_gen_imitation,0,0,555.228925528,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,55,47,dirrng,zipper,glass,first_gen_imitation,0,0,1341.12561456,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,56,35,dirrng,glass,glass,first_gen_imitation,1,1,917.909774143,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,57,47,pshhht,zipper,tear,first_gen_imitation,0,0,2196.87756069,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,58,47,glonglon,zipper,water,first_gen_imitation,0,0,883.952806515,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,59,35,pshhht,glass,tear,first_gen_imitation,0,0,737.134461742,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,60,40,dirrng,tear,glass,first_gen_imitation,0,0,520.409966208,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,61,47,arrgt,zipper,zipper,first_gen_imitation,1,1,984.675880871,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,62,40,pshhht,tear,tear,first_gen_imitation,1,1,477.24700399,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,63,47,arrgt,zipper,zipper,first_gen_imitation,1,0,524.463215712,False
LSN168,2016_Dec_09_1341,,LL-Kramer,3,64,35,dirrng,glass,glass,first_gen_imitation,1,1,694.222767081,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,65,42,glonglon,water,water,first_gen_imitation,1,1,345.482945821,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,66,42,dirrng,water,glass,first_gen_imitation,0,0,573.736620398,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,67,40,arrgt,tear,zipper,first_gen_imitation,0,0,937.888584449,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,68,35,dirrng,glass,glass,first_gen_imitation,1,1,882.791214288,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,69,42,pshhht,water,tear,first_gen_imitation,0,0,1049.70039947,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,70,35,dirrng,glass,glass,first_gen_imitation,1,1,710.016452416,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,71,47,dirrng,zipper,glass,first_gen_imitation,0,0,843.907162242,True
LSN168,2016_Dec_09_1341,,LL-Kramer,3,72,40,pshhht,tear,tear,first_gen_imitation,1,1,683.407059812,True
LSN168,2016_Dec_09_1341,,LL-Kramer,4,73,49,pshhht,zipper,tear,first_gen_imitation,0,0,649.6171771,True
LSN168,2016_Dec_09_1341,,LL-Kramer,4,74,44,dirrng,water,glass,first_gen_imitation,0,0,1241.66720014,True
LSN168,2016_Dec_09_1341,,LL-Kramer,4,75,37,arrgt,glass,zipper,first_gen_imitation,0,0,589.508859994,True
