subj_id,date,experimenter,computer,block_ix,trial_ix,sound_id,word,sound_category,word_category,word_type,correct_response,response,rt,is_correct
LSN104,2016_Nov_21_1106,,LL-George,1,1,46,brrip,zipper,zipper,sound_effect,1,1,1860.00556941,True
LSN104,2016_Nov_21_1106,,LL-George,1,2,35,brrip,glass,zipper,sound_effect,0,0,1948.061559,True
LSN104,2016_Nov_21_1106,,LL-George,1,3,45,cleek,water,glass,sound_effect,0,1,1505.23756782,False
LSN104,2016_Nov_21_1106,,LL-George,1,4,40,brrip,tear,zipper,sound_effect,0,1,1456.79702703,False
LSN104,2016_Nov_21_1106,,LL-George,1,5,45,blowosh,water,water,sound_effect,1,0,724.549638922,False
LSN104,2016_Nov_21_1106,,LL-George,1,6,40,crish,tear,tear,sound_effect,1,1,273.411412956,True
LSN104,2016_Nov_21_1106,,LL-George,1,7,45,blowosh,water,water,sound_effect,1,0,237.263136311,False
LSN104,2016_Nov_21_1106,,LL-George,1,8,45,blowosh,water,water,sound_effect,1,1,1062.31851119,True
LSN104,2016_Nov_21_1106,,LL-George,1,9,46,crish,zipper,tear,sound_effect,0,1,646.269397228,False
LSN104,2016_Nov_21_1106,,LL-George,1,10,35,cleek,glass,glass,sound_effect,1,0,599.851160077,False
LSN104,2016_Nov_21_1106,,LL-George,1,11,46,cleek,zipper,glass,sound_effect,0,0,1155.59062269,True
LSN104,2016_Nov_21_1106,,LL-George,1,12,45,blowosh,water,water,sound_effect,1,0,2560.27540204,False
LSN104,2016_Nov_21_1106,,LL-George,1,13,35,crish,glass,tear,sound_effect,0,0,3395.66699532,True
LSN104,2016_Nov_21_1106,,LL-George,1,14,45,blowosh,water,water,sound_effect,1,1,517.520869616,True
LSN104,2016_Nov_21_1106,,LL-George,1,15,46,brrip,zipper,zipper,sound_effect,1,0,862.60114715,False
LSN104,2016_Nov_21_1106,,LL-George,1,16,40,crish,tear,tear,sound_effect,1,1,859.911784297,True
LSN104,2016_Nov_21_1106,,LL-George,1,17,35,cleek,glass,glass,sound_effect,1,0,589.156125207,False
LSN104,2016_Nov_21_1106,,LL-George,1,18,40,brrip,tear,zipper,sound_effect,0,1,558.458593674,False
LSN104,2016_Nov_21_1106,,LL-George,1,19,46,brrip,zipper,zipper,sound_effect,1,0,404.732152005,False
LSN104,2016_Nov_21_1106,,LL-George,1,20,35,brrip,glass,zipper,sound_effect,0,0,524.490423035,True
LSN104,2016_Nov_21_1106,,LL-George,1,21,40,crish,tear,tear,sound_effect,1,0,1811.47668499,False
LSN104,2016_Nov_21_1106,,LL-George,1,22,40,crish,tear,tear,sound_effect,1,1,284.143257653,True
LSN104,2016_Nov_21_1106,,LL-George,1,23,35,crish,glass,tear,sound_effect,0,0,4347.7312302,True
LSN104,2016_Nov_21_1106,,LL-George,1,24,46,cleek,zipper,glass,sound_effect,0,1,325.930490158,False
LSN104,2016_Nov_21_1106,,LL-George,2,25,43,brrip,water,zipper,sound_effect,0,1,543.448158889,False
LSN104,2016_Nov_21_1106,,LL-George,2,26,48,crish,zipper,tear,sound_effect,0,0,277.709848364,True
LSN104,2016_Nov_21_1106,,LL-George,2,27,48,brrip,zipper,zipper,sound_effect,1,0,713.362951996,False
LSN104,2016_Nov_21_1106,,LL-George,2,28,34,blowosh,glass,water,sound_effect,0,1,1520.93586756,False
LSN104,2016_Nov_21_1106,,LL-George,2,29,34,blowosh,glass,water,sound_effect,0,0,526.184318354,True
LSN104,2016_Nov_21_1106,,LL-George,2,30,43,blowosh,water,water,sound_effect,1,0,1415.24441773,False
LSN104,2016_Nov_21_1106,,LL-George,2,31,43,blowosh,water,water,sound_effect,1,0,284.998207469,False
LSN104,2016_Nov_21_1106,,LL-George,2,32,48,cleek,zipper,glass,sound_effect,0,1,1230.31694919,False
LSN104,2016_Nov_21_1106,,LL-George,2,33,34,cleek,glass,glass,sound_effect,1,0,1391.96808101,False
