subj_id,date,experimenter,computer,block_ix,trial_ix,sound_id,word,sound_category,word_category,word_type,correct_response,response,rt,is_correct
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,1,38,dicdicdic,tear,glass,first_gen_imitation,0,1,4571.89539541,False
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,2,48,beehzuhp,zipper,zipper,first_gen_imitation,1,1,2741.20640848,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,3,43,glonglon,water,water,first_gen_imitation,1,1,1262.77067326,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,4,36,beehzuhp,glass,zipper,first_gen_imitation,0,0,1171.38069589,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,5,48,glonglon,zipper,water,first_gen_imitation,0,0,725.353456102,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,6,48,hhhweerrr,zipper,tear,first_gen_imitation,0,0,792.951042764,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,7,36,dicdicdic,glass,glass,first_gen_imitation,1,1,1252.02022959,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,8,38,hhhweerrr,tear,tear,first_gen_imitation,1,1,1098.76894485,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,9,43,dicdicdic,water,glass,first_gen_imitation,0,0,608.762383461,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,10,38,hhhweerrr,tear,tear,first_gen_imitation,1,1,502.288943157,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,11,43,beehzuhp,water,zipper,first_gen_imitation,0,0,700.324567966,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,12,38,glonglon,tear,water,first_gen_imitation,0,0,784.479619004,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,13,43,beehzuhp,water,zipper,first_gen_imitation,0,0,647.867419757,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,14,48,dicdicdic,zipper,glass,first_gen_imitation,0,0,646.178640425,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,15,38,dicdicdic,tear,glass,first_gen_imitation,0,0,669.753372669,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,16,43,glonglon,water,water,first_gen_imitation,1,1,470.703391358,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,17,36,dicdicdic,glass,glass,first_gen_imitation,1,1,721.395259723,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,18,36,dicdicdic,glass,glass,first_gen_imitation,1,1,617.922955193,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,19,48,beehzuhp,zipper,zipper,first_gen_imitation,1,1,1257.27829896,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,20,38,hhhweerrr,tear,tear,first_gen_imitation,1,1,431.750075892,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,21,48,hhhweerrr,zipper,tear,first_gen_imitation,0,0,834.068786353,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,22,36,beehzuhp,glass,zipper,first_gen_imitation,0,0,1173.54576476,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,23,36,hhhweerrr,glass,tear,first_gen_imitation,0,0,859.591249377,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,1,24,43,dicdicdic,water,glass,first_gen_imitation,0,0,618.441815488,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,25,44,beehzuhp,water,zipper,first_gen_imitation,0,0,832.267977297,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,26,49,beehzuhp,zipper,zipper,first_gen_imitation,1,1,507.386009209,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,27,34,dicdicdic,glass,glass,first_gen_imitation,1,1,662.367364392,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,28,44,dicdicdic,water,glass,first_gen_imitation,0,0,856.729990803,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,29,34,beehzuhp,glass,zipper,first_gen_imitation,0,0,1133.56593065,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,30,44,glonglon,water,water,first_gen_imitation,1,0,578.386440873,False
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,31,34,dicdicdic,glass,glass,first_gen_imitation,1,1,662.912152708,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,32,40,hhhweerrr,tear,tear,first_gen_imitation,1,1,456.671735272,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,33,34,hhhweerrr,glass,tear,first_gen_imitation,0,0,961.129907519,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,34,44,glonglon,water,water,first_gen_imitation,1,1,409.311013296,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,35,49,beehzuhp,zipper,zipper,first_gen_imitation,1,1,368.014019914,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,36,49,beehzuhp,zipper,zipper,first_gen_imitation,1,1,368.93394962,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,37,49,dicdicdic,zipper,glass,first_gen_imitation,0,0,604.479297996,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,38,40,dicdicdic,tear,glass,first_gen_imitation,0,0,560.0505732,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,39,34,hhhweerrr,glass,tear,first_gen_imitation,0,0,984.805787914,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,40,44,beehzuhp,water,zipper,first_gen_imitation,0,0,619.162972085,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,41,40,glonglon,tear,water,first_gen_imitation,0,0,517.681289464,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,42,40,hhhweerrr,tear,tear,first_gen_imitation,1,1,393.668358214,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,43,49,dicdicdic,zipper,glass,first_gen_imitation,0,0,604.227710515,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,44,49,beehzuhp,zipper,zipper,first_gen_imitation,1,1,737.240209244,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,45,40,hhhweerrr,tear,tear,first_gen_imitation,1,1,959.808588028,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,46,44,hhhweerrr,water,tear,first_gen_imitation,0,0,550.606724806,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,47,34,dicdicdic,glass,glass,first_gen_imitation,1,1,1156.31483775,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,2,48,40,hhhweerrr,tear,tear,first_gen_imitation,1,1,385.339692235,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,49,41,hhhweerrr,tear,tear,first_gen_imitation,1,1,355.91921024,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,50,46,dicdicdic,zipper,glass,first_gen_imitation,0,1,1007.60718901,False
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,51,45,glonglon,water,water,first_gen_imitation,1,1,443.625305779,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,52,41,beehzuhp,tear,zipper,first_gen_imitation,0,0,558.960357681,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,53,37,dicdicdic,glass,glass,first_gen_imitation,1,1,554.398476146,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,54,45,glonglon,water,water,first_gen_imitation,1,1,425.051294267,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,55,41,hhhweerrr,tear,tear,first_gen_imitation,1,1,433.912264183,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,56,37,dicdicdic,glass,glass,first_gen_imitation,1,1,516.779603437,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,57,45,glonglon,water,water,first_gen_imitation,1,1,572.967687622,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,58,45,dicdicdic,water,glass,first_gen_imitation,0,0,861.498007551,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,59,41,dicdicdic,tear,glass,first_gen_imitation,0,0,580.907766707,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,60,37,glonglon,glass,water,first_gen_imitation,0,0,697.500760667,True
LSN123,2016_Dec_02_1009,,LL-ELAINE,3,61,45,glonglon,water,water,first_gen_imitation,1,1,1095.70347145,True
